Unnamed: 0,atletas.posicao_id,atletas.apelido,atletas.variacao_num,atletas.preco_num,atletas.rodada_id,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.clube.id.full.name,atletas.status_id,atletas.entrou_em_campo,atletas.slug,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.pontos_num,CA,DS,FC,FF,FS,G,I,FD,SG,A,PS,FT,V,CV,DE,DP,GS,PC,PP,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
475,5,Biel,0.0,6.46,23,6,2.68,Gabriel Teixeira Aragão,CAM,6,False,biel,110760,Biel,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,,3.0,2.0,5.0,4.0,,,1.0,,1.0,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
476,2,Guilherme Lopes,0.0,6.37,23,9,3.82,Guilherme Lopes de Almeida,RBB,6,False,guilherme-lopes,110909,G. Lopes,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,2.0,10.0,6.0,2.0,3.0,1.0,,,2.0,1.0,,,,,,,,,,1.0,Lateral,0,0.0,Não Jogou,False
477,4,Rodrigo Santos,1.19,2.09,23,2,2.25,Rodrigo Oliveira dos Santos,FOR,6,True,rodrigo-santos,111156,R. Santos,356,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,4.5,,3.0,,,,,,,,,,,,,,,,,,,Meia,108,66.96,Regular,False
478,3,Alix Vinicius,0.0,4.0,23,0,0.0,Alix Vinicius de Souza Sampaio,RBB,6,False,alix-vinicius,111246,A. Vinicius,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
479,3,Gustavo Martins,-0.35,8.37,23,7,5.07,Gustavo Martins de Souza Santos,GRE,6,True,gustavo-martins,111309,G. Martins,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1.2,2.0,11.0,10.0,1.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,Zagueiro,239,28.42,Regular,False
480,4,Luis Mandaca,-0.85,6.9,23,20,4.86,Luis Gustavo da Silva Machado Duarte,JUV,7,True,luis-mandaca,111407,L. Mandaca,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,2.1,1.0,37.0,31.0,12.0,33.0,2.0,2.0,6.0,,,,1.0,,,,,,,,,Meia,186,44.49,Regular,False
481,3,Renzo,0.0,3.0,23,0,0.0,Renzo Azevedo Pimentel de Moura,SPT,6,False,renzo,111465,Renzo,292,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
482,3,Victor Gabriel,-0.36,9.48,23,9,5.8,Victor Gabriel da Conceição Ribeiro,INT,7,True,victor-gabriel,111466,V. Gabriel,285,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,1.9,,17.0,12.0,2.0,3.0,2.0,,1.0,2.0,,,,,,,,,,,,Zagueiro,199,40.33,Regular,False
483,1,Gabriel Átila,0.0,1.0,23,0,0.0,Gabriel Átila Cardoso da Silva,CAM,6,False,gabriel-atila,111582,G. Átila,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,,Goleiro,0,0.0,Não Jogou,False
484,3,Micael,0.0,4.18,23,9,2.19,Micael dos Santos Silva,PAL,6,False,micael,111594,Micael,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,2.0,6.0,15.0,,2.0,,,1.0,3.0,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
485,4,Adson,0.0,3.01,23,9,0.85,Adson Ferreira Soares,VAS,5,False,adson,111682,Adson,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,,3.0,1.0,,2.0,,,2.0,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
486,1,Anthoni,0.0,3.31,23,13,1.43,Anthoni Spier Souza,INT,6,False,anthoni,111683,Anthoni,285,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,,,,,2.0,,,,2.0,,,,,,22.0,,21.0,,,,Goleiro,0,0.0,Não Jogou,False
487,1,Matheus Cunha,0.0,5.0,23,0,0.0,Matheus Cunha Queiroz,FLA,6,False,matheus-cunha,111690,M. Cunha,262,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,,Goleiro,0,0.0,Não Jogou,False
488,4,Ryan Guilherme,0.0,3.0,23,0,0.0,Ryan Guilherme da Silva Pae,CRU,6,False,ryan-guilherme,111757,R. Guilherme,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
489,4,Fabinho,0.0,3.51,23,19,1.89,Fábio Silva de Freitas,RBB,7,False,fabinho,111760,Fabinho,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,1.0,16.0,15.0,5.0,12.0,,,2.0,,1.0,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
490,5,Kayky,0.43,3.54,23,16,1.95,Kayky da Silva Chagas,BAH,7,True,kayky,111829,Kayky,265,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4.2,1.0,6.0,5.0,2.0,7.0,1.0,1.0,4.0,,1.0,2.0,,,,,,,,,,Atacante,119,64.43,Regular,False
491,5,Matheus Martins,0.09,5.97,23,9,3.53,Matheus Martins Silva dos Santos,BOT,6,True,matheus-martins,111831,M. Martins,263,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2.8,1.0,7.0,6.0,2.0,12.0,1.0,,7.0,,,,,,,,,,,,,Atacante,156,53.27,Regular,False
492,2,Jefté,0.0,6.51,23,1,5.5,Jefté Vital da Silva Dias,PAL,6,False,jefte,111832,Jefté,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,,,,,1.0,,,,1.0,,,,,,,,,,,,Lateral,0,0.0,Não Jogou,False
493,5,Renzo López,0.93,5.89,23,9,2.54,Renzo López Patrón,VIT,6,True,renzo-lopez,111951,R. López,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7.0,2.0,5.0,8.0,3.0,6.0,1.0,2.0,3.0,,,,1.0,,,,,,,,,Atacante,55,83.78,Bom,False
494,1,Gabriel Grando,0.0,3.83,23,0,-3.0,Gabriel Hamester Grando,GRE,6,False,gabriel-grando,112616,G. Grando,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,,,,,,,,,,,,,,1.0,,,,,,,Goleiro,0,0.0,Não Jogou,False
