Unnamed: 0,atletas.foto,atletas.clube.id.full.name,atletas.variacao_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.pontos_num,atletas.slug,atletas.apelido_abreviado,atletas.posicao_id,atletas.nome,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.jogos_num,DE,GS,A,CA,DS,FC,FD,FF,FS,FT,G,I,PS,SG,V,CV,DP,PP,PC,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
663,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,0.0,28,False,0.0,yago-noal,Y. Noal,4,Yago Eduardo Noal Lopes,Yago Noal,134246,285,6,1.14,0.6,2,,,,,1.0,1.0,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
664,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,0.0,28,False,0.0,larson,Larson,4,Larson Torna Ferreira dos Santos,Larson,136156,275,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
665,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,0.0,28,False,0.0,luis-otavio,L. Otávio,4,Luis Otávio Costa de Aquino,Luis Otávio,136306,285,6,3.53,2.04,14,,,,,14.0,5.0,2.0,1.0,12.0,,,1.0,,,,,,,,,Meia,0,0.0,Não Jogou,False
666,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,0.22,28,True,0.9,sanabria,Sanabria,5,Mateo Naín Sanabria Doracio,Sanabria,136955,265,7,4.86,1.85,6,,,,,3.0,5.0,1.0,2.0,17.0,,,2.0,,,,1.0,,,,,Atacante,232,30.86,Regular,False
667,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,micael,Micael,5,Micael de Barros Viturino,Micael,137375,292,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
668,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,0.0,28,False,0.0,kaique-kenji,K. Kenji,5,Kaique Kenji Takamura Correa,Kaique Kenji,137542,283,6,1.09,0.5,2,,,,,,,,,2.0,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
669,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,-0.31,28,True,-0.3,clayton-sampaio,C. Sampaio,3,Clayton Sampaio Pereira,Clayton Sampaio,137618,285,6,3.74,2.47,7,,,,2.0,7.0,8.0,2.0,1.0,,1.0,,,,1.0,,,,,,,Zagueiro,301,9.5,Ruim,False
670,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,RBB,0.0,28,False,0.0,palacios,Palacios,3,Sergio Stevan Palacios Zapata,Palacios,138021,280,6,1.7,1.3,2,,,,2.0,,3.0,,,1.0,,,,,1.0,,,,,,,Zagueiro,0,0.0,Não Jogou,False
671,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,0.0,28,False,0.0,figueiredo,Figueiredo,4,Vitor dos Santos Figueiredo,Figueiredo,139001,275,5,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
672,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,1.07,28,True,9.05,filipe-luis,F. Luís,6,Filipe Luís Kasmirski,Filipe Luís,139076,262,7,13.19,7.15,27,,,,,,,,,,,,,,,17.0,,,,,,Técnico,29,91.69,Bom,True
673,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,0.0,28,False,0.0,pedro-kaua,P. Kauã,3,Pedro Kauã Rodrigues Machado,Pedro Kauã,139200,285,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
674,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,0.0,28,False,0.0,kaua-prates,K. Prates,2,Kauã Prates de Almeida,Kauã Prates,139345,283,7,3.43,3.17,4,,,,1.0,3.0,4.0,,,1.0,,,1.0,,2.0,,,,,,,Lateral,0,0.0,Não Jogou,False
675,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.0,28,False,0.0,caio-maia,C. Maia,5,Caio da Silva Maia,Caio Maia,139455,282,5,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
676,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.0,28,False,0.0,joao-marcelo,J. Marcelo,5,João Marcelo Soares de Freitas,João Marcelo,140364,282,6,3.46,1.51,7,,,1.0,,1.0,3.0,3.0,2.0,,,,2.0,,,,,,,,,Atacante,0,0.0,Não Jogou,False
677,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,-0.65,28,True,0.5,riquelme-felipe,R. Felipe,5,Riquelme Felipe Silva de Almeida,Riquelme Felipe,140484,266,6,3.43,1.0,5,,,,,2.0,1.0,,1.0,3.0,,,,,,,,,,,,Atacante,249,25.07,Regular,False
