Unnamed: 0,atletas.rodada_id,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
208,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7,0,0,0,caique-franca,Caíque França,91808,Caíque França Godoy,SPT,False,0,292,1,4,,C. França,Goleiro,0,0.0,Não Jogou,False
209,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,7,0,0,0,ze-ivaldo,Zé Ivaldo,91866,José Ivaldo Almeida Silva,SAN,False,0,277,3,6,,Z. Ivaldo,Zagueiro,0,0.0,Não Jogou,False
210,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6,0,0,0,pavon,Pavón,91908,Cristian David Pavón,GRE,False,0,284,5,7,,Pavón,Atacante,0,0.0,Não Jogou,False
211,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7,0,0,0,ramon-diaz,Ramón Díaz,92075,Ramón Ángel Díaz,COR,False,0,264,6,9,,R. Díaz,Técnico,0,0.0,Não Jogou,False
212,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,0,0,0,giovanny,Giovanny,92085,Giovanny Bariani Marques,JUV,False,0,286,5,3,,Giovanny,Atacante,0,0.0,Não Jogou,False
213,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,0,0,0,lyanco,Lyanco,92087,Lyanco Evangelista Silveira Neves Vojnovic,CAM,False,0,282,3,7,,Lyanco,Zagueiro,0,0.0,Não Jogou,False
214,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6,0,0,0,rodrigo-ely,Rodrigo Ely,92237,Rodrigo Ely,GRE,False,0,284,3,6,,R. Ely,Zagueiro,0,0.0,Não Jogou,False
215,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,6,0,0,0,andre-ramalho,André Ramalho,92440,André Ramalho Silva,COR,False,0,264,3,7,,A. Ramalho,Zagueiro,0,0.0,Não Jogou,False
216,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,0,0,0,renato-kayzer,Renato Kayzer,92696,Renato Kayzer de Souza,FOR,False,0,356,5,4,,R. Kayzer,Atacante,0,0.0,Não Jogou,False
217,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,6,0,0,0,deyverson,Deyverson,92708,Deyverson Brum Silva Acosta,CAM,False,0,282,5,7,,Deyverson,Atacante,0,0.0,Não Jogou,False
218,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,6,0,0,0,bruno-rodrigues,Bruno Rodrigues,92811,Bruno Rafael Rodrigues do Nascimento,PAL,False,0,275,5,6,,B. Rodrigues,Atacante,0,0.0,Não Jogou,False
219,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6,0,0,0,borre,Borré,92854,Rafael Santos Borré Maury,INT,False,0,285,5,19,,Borré,Atacante,0,0.0,Não Jogou,False
220,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,6,0,0,0,ronaldo,Ronaldo,92981,Ronaldo da Silva Souza Guerrero,INT,False,0,285,4,5,,Ronaldo,Meia,0,0.0,Não Jogou,False
