Unnamed: 0,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.apelido_abreviado,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,CA,DS,FC,FF,FS,G,I,A,FD,PS,FT,SG,V,CV,DE,DP,GS,PC,PP,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
95,0.4,286,4,3.55,True,80129,5.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Jadson,7,jadson,22,JUV,-0.48,Jadson Alves dos Santos,19,Jadson,5.0,35.0,28.0,6.0,32.0,,2.0,1.0,3.0,,,,,,,,,1.0,,,Meia,264,20.03,Regular,False
96,0.0,356,4,2.67,False,80196,5.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Y. Pikachu,6,yago-pikachu,22,FOR,0.0,Glaybson Yago Souza Lisboa,16,Yago Pikachu,2.0,8.0,7.0,4.0,12.0,2.0,3.0,,5.0,1.0,1.0,,,,,,,,,,Meia,0,0.0,Não Jogou,False
97,2.2,276,5,5.71,True,80287,9.29,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Luciano,7,luciano,22,SAO,-0.02,Luciano da Rocha Neves,18,Luciano,6.0,18.0,22.0,19.0,26.0,4.0,4.0,3.0,13.0,2.0,,,,,,,,,1.0,,Atacante,183,44.58,Regular,False
98,0.0,265,2,4.13,False,80313,7.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Gilberto,5,gilberto,22,BAH,0.0,Gilberto Moraes Júnior,15,Gilberto,3.0,22.0,11.0,4.0,6.0,1.0,1.0,,1.0,,,4.0,,,,,,,,,Lateral,0,0.0,Não Jogou,False
99,0.0,276,2,4.78,True,80570,9.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Wendell,6,wendell,22,SAO,-0.5,Wendell Nascimento Borges,11,Wendell,,15.0,11.0,3.0,12.0,,,1.0,,,,4.0,,,,,,,,,Lateral,275,12.65,Regular,False
100,13.0,292,4,4.1,True,80583,7.64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,L. Lima,7,lucas-lima,22,SPT,1.6,Lucas Rafael Araújo Lima,18,Lucas Lima,8.0,15.0,20.0,3.0,30.0,3.0,6.0,3.0,8.0,,,,,,,,,,,,Meia,6,98.49,Muito Bom,True
101,0.0,267,4,2.07,True,81091,4.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Jair,7,jair,22,VAS,-0.63,Jair Rodrigues Júnior,10,Jair,3.0,14.0,12.0,1.0,11.0,,,,,,,,,,,,,,,,Meia,275,12.65,Regular,False
102,2.1,354,4,3.25,True,81121,6.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,L. Mugni,7,lucas-mugni,22,CEA,0.29,Lucas Andrés Mugni,17,Lucas Mugni,4.0,19.0,22.0,5.0,10.0,1.0,1.0,3.0,2.0,,1.0,,,,,,,,,,Meia,188,43.52,Regular,False
103,7.4,277,2,3.29,True,81150,7.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Mayke,7,mayke,22,SAN,1.08,Mayke Rocha de Oliveira,8,Mayke,1.0,12.0,13.0,1.0,5.0,,1.0,,,,,2.0,,,,,,,,,Lateral,58,82.53,Bom,False
104,0.0,292,5,0.58,False,81401,5.5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,G. Paciência,6,goncalo-paciencia,22,SPT,0.0,Gonçalo Mendes Paciência,4,Gonçalo Paciência,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
